archivo,id_interaccion,agente,duracion_seg,duracion_min,rango_duracion,fecha,es_dia_promo,motivo_principal,motivos_detectados,tiene_saludo,tiene_identificacion,tiene_cierre_correcto,despedida_abrupta,score_calidad,planes_ofrecidos,cantidad_planes,primer_plan,ofrece_fibra,ofrece_equipo,menciona_promo,objeciones,cantidad_objeciones,manejo_objeciones,competencia,sentimiento,tiene_queja,queja_resuelta,resultado,es_venta,es_continuacion,es_rechazo,hay_transferencia,hay_escalacion,es_retencion,cross_sell,turnos_agente,turnos_cliente,total_turnos
amza9_1_260113144933832_ACD_08703_transcripcion.json,260113144933832_ACD_08703,MZA 9,73,1.2,1-3 min,13/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,True,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,6,5,11
amza9_1_260113145532945_MIT_01964_transcripcion.json,260113145532945_MIT_01964,MZA 9,1042,17.4,> 8 min,13/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,False,,0,,"claro, personal",mixto,False,False,continuacion,False,True,False,False,False,False,,55,59,114
amza9_1_260113151515352_MIT_01989_transcripcion.json,260113151515352_MIT_01989,MZA 9,488,8.1,> 8 min,13/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,False,,0,,claro,positivo,False,False,sin_cierre_claro,False,False,False,False,False,True,,20,32,52
amza9_1_260113153541805_MIT_01987_transcripcion.json,260113153541805_MIT_01987,MZA 9,117,1.9,1-3 min,13/01,True,no_identificado,,False,False,False,False,25,,0,,False,False,False,sin_interes,1,,claro,positivo,False,False,rechazo,False,False,True,False,False,False,,1,11,12
amza9_1_260114103839527_ACD_47377_transcripcion.json,260114103839527_ACD_47377,MZA 9,127,2.1,1-3 min,14/01,True,no_identificado,,False,False,False,False,25,,0,,False,False,True,sin_interes,1,rebate_precio,"claro, otra_empresa",positivo,False,False,rechazo,False,False,True,False,False,False,,4,10,14
amza9_1_260114104438074_ACD_65737_transcripcion.json,260114104438074_ACD_65737,MZA 9,173,2.9,1-3 min,14/01,True,no_identificado,,True,False,False,True,25,"4gb, 8gb",2,4gb,False,False,True,,0,urgencia,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,13,6,19
amza9_1_260114104852996_ACD_77369_transcripcion.json,260114104852996_ACD_77369,MZA 9,262,4.4,3-5 min,14/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,True,,0,rebate_precio,"claro, personal, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,16,15,31
amza9_1_260114105831163_ACD_05495_transcripcion.json,260114105831163_ACD_05495,MZA 9,194,3.2,3-5 min,14/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,True,,0,,"claro, otra_empresa",mixto,False,False,sin_cierre_claro,False,False,False,False,False,False,,10,13,23
amza9_1_260114111019016_ACD_38295_transcripcion.json,260114111019016_ACD_38295,MZA 9,115,1.9,1-3 min,14/01,True,no_identificado,,True,False,True,False,75,4gb,1,4gb,False,False,True,,0,,claro,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,9,10,19
amza9_1_260114113419927_ACD_11473_transcripcion.json,260114113419927_ACD_11473,MZA 9,94,1.6,1-3 min,14/01,True,no_identificado,,True,False,False,False,50,8gb,1,8gb,True,False,True,,0,,,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,12,5,17
amza9_1_260114113820317_ACD_24107_transcripcion.json,260114113820317_ACD_24107,MZA 9,411,6.8,5-8 min,14/01,True,no_identificado,,True,False,False,False,50,4gb,1,4gb,False,False,False,"sin_interes, consultar",2,,"claro, personal",mixto,True,False,rechazo,False,False,True,False,False,False,,11,27,38
amza9_1_260114115456756_ACD_69179_transcripcion.json,260114115456756_ACD_69179,MZA 9,100,1.7,1-3 min,14/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,True,,0,,claro,positivo,False,False,continuacion,False,True,False,True,False,False,,8,5,13
amza9_1_260114115931576_ACD_81031_transcripcion.json,260114115931576_ACD_81031,MZA 9,82,1.4,1-3 min,14/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,True,,0,,claro,mixto,True,False,rechazo,False,False,True,False,False,False,,2,7,9
