archivo,agente,fecha,duracion_seg,primer_plan
amza13_1_260116124731069_ACD_97879_transcripcion.json,MZA 13,16/01,69,
amza13_1_260116125314064_ACD_18315_transcripcion.json,MZA 13,16/01,83,
amza13_1_260116131035438_ACD_81183_transcripcion.json,MZA 13,16/01,67,
amza13_1_260116133118017_ACD_46113_transcripcion.json,MZA 13,16/01,132,
amza13_1_260116134314193_ACD_85927_transcripcion.json,MZA 13,16/01,94,8gb
amza13_1_260116134749646_ACD_03135_transcripcion.json,MZA 13,16/01,120,
amza13_1_260116135430035_ACD_29399_transcripcion.json,MZA 13,16/01,67,
amza13_1_260116142637782_ACD_43559_transcripcion.json,MZA 13,16/01,166,
amza13_1_260116144136273_ACD_93823_transcripcion.json,MZA 13,16/01,91,
amza13_1_260116145336672_ACD_36097_transcripcion.json,MZA 13,16/01,208,
amza13_2_260116104127100_ACD_47085_transcripcion.json,MZA 13,16/01,561,
amza14_1_260112133330310_ACD_68135_transcripcion.json,MZA 14,12/01,64,8gb
amza14_1_260113145417703_ACD_25201_transcripcion.json,MZA 14,13/01,63,
amza14_1_260114103500665_ACD_36975_transcripcion.json,MZA 14,14/01,133,
amza14_1_260114104908085_ACD_78109_transcripcion.json,MZA 14,14/01,116,
amza14_1_260114115009698_ACD_58419_transcripcion.json,MZA 14,14/01,70,
amza14_1_260114115532837_ACD_70665_transcripcion.json,MZA 14,14/01,73,
amza14_1_260114130201212_ACD_89747_transcripcion.json,MZA 14,14/01,100,
amza14_1_260114132447755_ACD_59621_transcripcion.json,MZA 14,14/01,793,8gb
amza14_1_260114143320559_ACD_60277_transcripcion.json,MZA 14,14/01,64,
amza14_1_260115105333908_ACD_74867_transcripcion.json,MZA 14,15/01,119,8gb
amza14_1_260115114158050_MIT_01990_transcripcion.json,MZA 14,15/01,579,8gb
amza14_1_260115120403886_ACD_11527_transcripcion.json,MZA 14,15/01,105,8gb
amza14_1_260115130853678_ACD_49417_transcripcion.json,MZA 14,15/01,320,
amza14_1_260115134339747_ACD_55709_transcripcion.json,MZA 14,15/01,90,4gb
amza14_1_260115135016928_ACD_76773_transcripcion.json,MZA 14,15/01,243,
amza14_1_260115141721825_ACD_76113_transcripcion.json,MZA 14,15/01,243,
amza14_1_260115143139660_ACD_24695_transcripcion.json,MZA 14,15/01,60,
amza14_1_260116110529492_ACD_31645_transcripcion.json,MZA 14,16/01,60,
amza14_1_260116114143571_ACD_62457_transcripcion.json,MZA 14,16/01,94,8gb
amza14_1_260116114817653_ACD_84327_transcripcion.json,MZA 14,16/01,89,8gb
amza14_1_260116130950196_ACD_78919_transcripcion.json,MZA 14,16/01,135,
amza14_1_260116133648350_ACD_62969_transcripcion.json,MZA 14,16/01,68,
amza14_1_260116142409206_ACD_36761_transcripcion.json,MZA 14,16/01,99,
amza15_1_260112103516774_MIT_01996_transcripcion.json,MZA 15,12/01,150,
amza15_1_260112110023478_ACD_20405_transcripcion.json,MZA 15,12/01,257,4gb
amza15_1_260112111818843_ACD_89565_transcripcion.json,MZA 15,12/01,81,
amza15_1_260112112244120_ACD_05743_transcripcion.json,MZA 15,12/01,136,
amza15_1_260112114354508_ACD_83747_transcripcion.json,MZA 15,12/01,80,
amza15_1_260112115557260_ACD_23789_transcripcion.json,MZA 15,12/01,248,
amza15_1_260112131705409_ACD_14195_transcripcion.json,MZA 15,12/01,260,8gb
amza15_1_260112133228993_ACD_64517_transcripcion.json,MZA 15,12/01,223,
amza15_1_260112134957210_ACD_20215_transcripcion.json,MZA 15,12/01,97,
amza15_1_260112135435448_ACD_36657_transcripcion.json,MZA 15,12/01,95,8gb
amza15_1_260112141102342_ACD_96781_transcripcion.json,MZA 15,12/01,132,
amza15_1_260112142650778_ACD_49447_transcripcion.json,MZA 15,12/01,114,
amza15_1_260112143033527_ACD_62077_transcripcion.json,MZA 15,12/01,106,4gb
amza15_1_260112145803864_ACD_41665_transcripcion.json,MZA 15,12/01,63,
amza15_1_260113103241173_ACD_44071_transcripcion.json,MZA 15,13/01,210,
amza15_1_260113103929970_ACD_62935_transcripcion.json,MZA 15,13/01,61,
amza15_1_260113104558549_ACD_81277_transcripcion.json,MZA 15,13/01,108,
amza15_1_260113111255195_ACD_73769_transcripcion.json,MZA 15,13/01,91,8gb
amza15_1_260113115654101_ACD_03345_transcripcion.json,MZA 15,13/01,134,8gb
amza15_1_260113120531150_ACD_26559_transcripcion.json,MZA 15,13/01,86,
amza15_1_260113121109698_ACD_42453_transcripcion.json,MZA 15,13/01,71,
amza15_1_260113121807530_ACD_64755_transcripcion.json,MZA 15,13/01,182,4gb
amza15_1_260113124606063_ACD_98937_transcripcion.json,MZA 15,13/01,61,
amza15_1_260113130216554_ACD_43167_transcripcion.json,MZA 15,13/01,131,
amza15_1_260113130714896_ACD_58739_transcripcion.json,MZA 15,13/01,113,
amza15_1_260113132747744_ACD_25063_transcripcion.json,MZA 15,13/01,65,
amza15_1_260113134314711_ACD_76481_transcripcion.json,MZA 15,13/01,142,
amza15_1_260113134717542_ACD_89125_transcripcion.json,MZA 15,13/01,88,
amza15_1_260113142119209_ACD_12113_transcripcion.json,MZA 15,13/01,162,4gb
amza15_1_260113143342090_ACD_52029_transcripcion.json,MZA 15,13/01,84,
amza16_1_260114120826347_MIT_01966_transcripcion.json,MZA 16,14/01,72,
amza16_1_260115112332485_ACD_76615_transcripcion.json,MZA 16,15/01,62,
amza16_1_260115125458780_ACD_04625_transcripcion.json,MZA 16,15/01,75,
amza16_1_260115130520010_ACD_38733_transcripcion.json,MZA 16,15/01,211,8gb
amza16_1_260115131526984_ACD_69297_transcripcion.json,MZA 16,15/01,65,
amza16_1_260115133318042_ACD_21591_transcripcion.json,MZA 16,15/01,96,
amza16_1_260115135804678_ACD_04299_transcripcion.json,MZA 16,15/01,1079,4gb
amza16_1_260115142955245_ACD_17813_transcripcion.json,MZA 16,15/01,1163,8gb
amza16_1_260116104346608_ACD_55163_transcripcion.json,MZA 16,16/01,90,4gb
amza16_1_260116105410665_ACD_92637_transcripcion.json,MZA 16,16/01,93,
amza16_1_260116110336802_ACD_24797_transcripcion.json,MZA 16,16/01,308,8gb
amza16_1_260116115703595_ACD_11237_transcripcion.json,MZA 16,16/01,77,
amza16_1_260116125014905_ACD_07879_transcripcion.json,MZA 16,16/01,70,
amza16_1_260116142850273_MIT_01961_transcripcion.json,MZA 16,16/01,475,
amza16_1_260116143715726_MIT_01988_transcripcion.json,MZA 16,16/01,169,
amza16_1_260116144028233_MIT_01973_transcripcion.json,MZA 16,16/01,268,4gb
amza18_1_260112103957227_ACD_35523_transcripcion.json,MZA 18,12/01,83,
amza18_1_260112125816514_ACD_55677_transcripcion.json,MZA 18,12/01,449,
amza18_1_260112133335399_MIT_01999_transcripcion.json,MZA 18,12/01,205,
amza18_1_260112134436867_MIT_01980_transcripcion.json,MZA 18,12/01,117,
amza18_1_260112134929727_MIT_01979_transcripcion.json,MZA 18,12/01,654,
amza18_1_260113102928801_ACD_34281_transcripcion.json,MZA 18,13/01,146,
amza18_1_260113125740552_ACD_28847_transcripcion.json,MZA 18,13/01,66,
amza18_1_260113130104385_ACD_39385_transcripcion.json,MZA 18,13/01,88,
amza18_1_260113131423665_ACD_82261_transcripcion.json,MZA 18,13/01,176,8gb
amza18_1_260113145104408_ACD_14499_transcripcion.json,MZA 18,13/01,108,
amza18_1_260113145509955_ACD_28647_transcripcion.json,MZA 18,13/01,72,
amza18_1_260114103754035_MIT_01977_transcripcion.json,MZA 18,14/01,171,
amza18_1_260114111820774_ACD_61669_transcripcion.json,MZA 18,14/01,71,
amza18_1_260114112903385_ACD_94081_transcripcion.json,MZA 18,14/01,83,
amza18_1_260114125439020_ACD_66243_transcripcion.json,MZA 18,14/01,103,
amza18_1_260114125813124_ACD_77349_transcripcion.json,MZA 18,14/01,379,
amza18_1_260114131019130_ACD_16853_transcripcion.json,MZA 18,14/01,96,8gb
amza18_1_260114132437732_ACD_59149_transcripcion.json,MZA 18,14/01,69,
amza18_1_260114134944030_ACD_30705_transcripcion.json,MZA 18,14/01,72,
amza18_1_260114135828624_ACD_57051_transcripcion.json,MZA 18,14/01,71,
amza19_1_260112112701919_ACD_21561_transcripcion.json,MZA 19,12/01,226,8gb
amza19_1_260112124836040_ACD_26933_transcripcion.json,MZA 19,12/01,72,8gb
amza19_1_260112130018932_ACD_62215_transcripcion.json,MZA 19,12/01,153,8gb
amza19_1_260112133320241_ACD_67489_transcripcion.json,MZA 19,12/01,62,
amza19_1_260112135155876_ACD_27241_transcripcion.json,MZA 19,12/01,74,4gb
amza19_1_260112135545830_ACD_40605_transcripcion.json,MZA 19,12/01,157,8gb
amza19_1_260112143956831_ACD_89955_transcripcion.json,MZA 19,12/01,93,
amza19_1_260112145208674_ACD_23999_transcripcion.json,MZA 19,12/01,83,8gb
amza19_1_260113102934793_ACD_34521_transcripcion.json,MZA 19,13/01,77,
amza19_1_260113120536171_ACD_26763_transcripcion.json,MZA 19,13/01,69,
amza19_1_260113125629961_MIT_01980_transcripcion.json,MZA 19,13/01,833,8gb
amza19_1_260113131851437_ACD_96371_transcripcion.json,MZA 19,13/01,242,8gb
amza19_1_260113132646440_ACD_21931_transcripcion.json,MZA 19,13/01,101,
amza19_1_260113133707536_ACD_54777_transcripcion.json,MZA 19,13/01,97,
amza19_1_260113135229607_ACD_05151_transcripcion.json,MZA 19,13/01,78,
amza19_1_260113140055916_ACD_36907_transcripcion.json,MZA 19,13/01,80,
amza19_1_260113143138610_ACD_44577_transcripcion.json,MZA 19,13/01,267,8gb
amza19_1_260114112648467_ACD_87219_transcripcion.json,MZA 19,14/01,1428,8gb
amza19_1_260114131604252_ACD_35197_transcripcion.json,MZA 19,14/01,68,8gb
amza19_1_260114135016138_ACD_32543_transcripcion.json,MZA 19,14/01,87,
amza19_1_260114140444032_ACD_75233_transcripcion.json,MZA 19,14/01,102,8gb
amza19_1_260114142634599_ACD_42521_transcripcion.json,MZA 19,14/01,970,8gb
amza19_1_260115102606753_MIT_01985_transcripcion.json,MZA 19,15/01,512,4gb
amza19_1_260115103449425_MIT_01965_transcripcion.json,MZA 19,15/01,329,
amza19_1_260115114057520_ACD_36631_transcripcion.json,MZA 19,15/01,60,
amza19_1_260115130514986_ACD_38247_transcripcion.json,MZA 19,15/01,125,
amza19_1_260115132539116_ACD_98839_transcripcion.json,MZA 19,15/01,178,
amza19_1_260115133832338_ACD_38723_transcripcion.json,MZA 19,15/01,208,8gb
amza19_1_260115135511083_ACD_93067_transcripcion.json,MZA 19,15/01,62,
amza19_1_260115143240852_ACD_28347_transcripcion.json,MZA 19,15/01,738,8gb
amza19_1_260116112137135_ACD_91417_transcripcion.json,MZA 19,16/01,126,
amza19_1_260116112430753_ACD_02903_transcripcion.json,MZA 19,16/01,88,
amza1_1_260112105715857_ACD_08361_transcripcion.json,MZA 1,12/01,144,
amza1_1_260112110443606_ACD_36883_transcripcion.json,MZA 1,12/01,1187,4gb
amza1_1_260112133911696_ACD_88059_transcripcion.json,MZA 1,12/01,80,
amza1_1_260112134451011_ACD_05837_transcripcion.json,MZA 1,12/01,91,
amza1_1_260112142252852_ACD_36123_transcripcion.json,MZA 1,12/01,289,
amza1_1_260112143926698_ACD_88415_transcripcion.json,MZA 1,12/01,100,
amza1_1_260113121259242_MIT_01998_transcripcion.json,MZA 1,13/01,65,
amza1_1_260113121515822_ACD_55499_transcripcion.json,MZA 1,13/01,75,
amza1_1_260113124750294_ACD_01963_transcripcion.json,MZA 1,13/01,101,
amza1_1_260113125609007_ACD_23741_transcripcion.json,MZA 1,13/01,154,
amza1_1_260113125934013_ACD_34669_transcripcion.json,MZA 1,13/01,75,8gb
amza1_1_260113130130502_ACD_40719_transcripcion.json,MZA 1,13/01,68,
amza1_1_260113130549398_MIT_01978_transcripcion.json,MZA 1,13/01,135,
amza1_1_260113130855363_ACD_64201_transcripcion.json,MZA 1,13/01,204,4gb
amza1_1_260113131331567_ACD_79133_transcripcion.json,MZA 1,13/01,72,
amza1_1_260113131524044_ACD_85105_transcripcion.json,MZA 1,13/01,552,8gb
amza1_1_260113134113284_ACD_69441_transcripcion.json,MZA 1,13/01,120,8gb
amza1_1_260113135127352_MIT_01985_transcripcion.json,MZA 1,13/01,344,8gb
amza1_1_260113141223200_ACD_82855_transcripcion.json,MZA 1,13/01,75,
amza1_1_260113141900631_ACD_05113_transcripcion.json,MZA 1,13/01,196,8gb
amza1_1_260113142414013_ACD_20333_transcripcion.json,MZA 1,13/01,488,
amza1_1_260113145034213_ACD_12749_transcripcion.json,MZA 1,13/01,119,
amza1_1_260114104038519_MIT_01970_transcripcion.json,MZA 1,14/01,140,8gb
amza1_1_260114104320878_MIT_01955_transcripcion.json,MZA 1,14/01,375,8gb
amza1_1_260114110501893_ACD_23363_transcripcion.json,MZA 1,14/01,68,
amza1_1_260114111140429_ACD_42025_transcripcion.json,MZA 1,14/01,121,8gb
amza1_1_260114112208314_ACD_73097_transcripcion.json,MZA 1,14/01,109,
amza1_1_260114112453788_ACD_81463_transcripcion.json,MZA 1,14/01,141,
amza1_1_260114112822189_ACD_91917_transcripcion.json,MZA 1,14/01,242,8gb
amza1_1_260114114218698_ACD_35743_transcripcion.json,MZA 1,14/01,71,
amza1_1_260114114954624_ACD_57757_transcripcion.json,MZA 1,14/01,99,
amza1_1_260114120755584_ACD_99157_transcripcion.json,MZA 1,14/01,166,
amza1_1_260114121938973_ACD_25319_transcripcion.json,MZA 1,14/01,458,
amza1_1_260114124208485_ACD_45857_transcripcion.json,MZA 1,14/01,84,
