archivo,agente,fecha,descuento_dia,duracion_seg,primer_plan
amza15_1_260113130714896_ACD_58739_transcripcion.json,MZA 15,13/01,80%,113,
amza15_1_260113132319328_ACD_10387_transcripcion.json,MZA 15,13/01,80%,121,8gb
amza15_1_260113134717542_ACD_89125_transcripcion.json,MZA 15,13/01,80%,88,
amza15_1_260113143342090_ACD_52029_transcripcion.json,MZA 15,13/01,80%,84,
amza16_1_260114120826347_MIT_01966_transcripcion.json,MZA 16,14/01,80%,72,
amza16_1_260115112332485_ACD_76615_transcripcion.json,MZA 16,15/01,80%,62,
amza16_1_260115125458780_ACD_04625_transcripcion.json,MZA 16,15/01,80%,75,
amza16_1_260115131526984_ACD_69297_transcripcion.json,MZA 16,15/01,80%,65,
amza16_1_260115133318042_ACD_21591_transcripcion.json,MZA 16,15/01,80%,96,
amza16_1_260115142955245_ACD_17813_transcripcion.json,MZA 16,15/01,80%,1163,8gb
amza16_1_260116104346608_ACD_55163_transcripcion.json,MZA 16,16/01,80%,90,4gb
amza16_1_260116110336802_ACD_24797_transcripcion.json,MZA 16,16/01,80%,308,8gb
amza16_1_260116125014905_ACD_07879_transcripcion.json,MZA 16,16/01,80%,70,
amza16_1_260116130323704_ACD_57459_transcripcion.json,MZA 16,16/01,80%,1634,15gb
amza16_1_260116142850273_MIT_01961_transcripcion.json,MZA 16,16/01,80%,475,
amza16_1_260116143715726_MIT_01988_transcripcion.json,MZA 16,16/01,80%,169,
amza16_1_260116144028233_MIT_01973_transcripcion.json,MZA 16,16/01,80%,268,4gb
amza18_1_260113125740552_ACD_28847_transcripcion.json,MZA 18,13/01,80%,66,
amza18_1_260113131423665_ACD_82261_transcripcion.json,MZA 18,13/01,80%,176,8gb
amza18_1_260113145104408_ACD_14499_transcripcion.json,MZA 18,13/01,80%,108,
amza18_1_260113145509955_ACD_28647_transcripcion.json,MZA 18,13/01,80%,72,
amza18_1_260114103754035_MIT_01977_transcripcion.json,MZA 18,14/01,80%,171,
amza18_1_260114111820774_ACD_61669_transcripcion.json,MZA 18,14/01,80%,71,
amza18_1_260114112903385_ACD_94081_transcripcion.json,MZA 18,14/01,80%,83,
amza18_1_260114125439020_ACD_66243_transcripcion.json,MZA 18,14/01,80%,103,
amza19_1_260113132646440_ACD_21931_transcripcion.json,MZA 19,13/01,80%,101,
amza19_1_260113133707536_ACD_54777_transcripcion.json,MZA 19,13/01,80%,97,
amza19_1_260115103449425_MIT_01965_transcripcion.json,MZA 19,15/01,80%,329,
amza19_1_260115114057520_ACD_36631_transcripcion.json,MZA 19,15/01,80%,60,
amza19_1_260115130514986_ACD_38247_transcripcion.json,MZA 19,15/01,80%,125,
amza19_1_260116112430753_ACD_02903_transcripcion.json,MZA 19,16/01,80%,88,
amza1_1_260113121259242_MIT_01998_transcripcion.json,MZA 1,13/01,80%,65,
amza1_1_260113130130502_ACD_40719_transcripcion.json,MZA 1,13/01,80%,68,
amza1_1_260113131331567_ACD_79133_transcripcion.json,MZA 1,13/01,80%,72,
amza1_1_260113141900631_ACD_05113_transcripcion.json,MZA 1,13/01,80%,196,8gb
amza1_1_260114112208314_ACD_73097_transcripcion.json,MZA 1,14/01,80%,109,
amza1_1_260114112453788_ACD_81463_transcripcion.json,MZA 1,14/01,80%,141,
amza1_1_260114114218698_ACD_35743_transcripcion.json,MZA 1,14/01,80%,71,
