archivo,id_interaccion,agente,fecha,duracion_seg,primer_plan,planes_ofrecidos,cantidad_planes,ofrece_fibra
amza10_1_260310170223287_ACD_46597_mejorado.json,amza10_1_260310170223287_ACD_46597_mejorado.json,amza10,10/03,356.0,,,0,False
amza10_1_260310171940163_ACD_53727_mejorado.json,amza10_1_260310171940163_ACD_53727_mejorado.json,amza10,10/03,92.68,,,0,False
amza10_1_260310172323309_ACD_54927_mejorado.json,amza10_1_260310172323309_ACD_54927_mejorado.json,amza10,10/03,320.57,4gb,"4gb, 8gb",2,False
amza10_1_260310173009264_ACD_58083_mejorado.json,amza10_1_260310173009264_ACD_58083_mejorado.json,amza10,10/03,62.32,,,0,False
amza10_1_260310174106411_ACD_71045_mejorado.json,amza10_1_260310174106411_ACD_71045_mejorado.json,amza10,10/03,167.11,,,0,False
amza10_1_260310180107473_ACD_96797_mejorado.json,amza10_1_260310180107473_ACD_96797_mejorado.json,amza10,10/03,96.21,,,0,False
amza10_1_260310180538459_ACD_03075_mejorado.json,amza10_1_260310180538459_ACD_03075_mejorado.json,amza10,10/03,181.07,,,0,False
amza10_1_260310181446255_ACD_15187_mejorado.json,amza10_1_260310181446255_ACD_15187_mejorado.json,amza10,10/03,89.89,,,0,False
amza10_1_260310181724422_ACD_18667_mejorado.json,amza10_1_260310181724422_ACD_18667_mejorado.json,amza10,10/03,506.76,8gb,8gb,1,False
amza10_1_260310182716147_MIT_01984_mejorado.json,amza10_1_260310182716147_MIT_01984_mejorado.json,amza10,10/03,2178.11,,,0,True
amza10_1_260311102513782_ACD_92763_mejorado.json,amza10_1_260311102513782_ACD_92763_mejorado.json,amza10,11/03,410.0,8gb,8gb,1,False
amza10_1_260311103430480_ACD_16441_mejorado.json,amza10_1_260311103430480_ACD_16441_mejorado.json,amza10,11/03,67.67,,,0,False
amza10_1_260311103802128_ACD_27419_mejorado.json,amza10_1_260311103802128_ACD_27419_mejorado.json,amza10,11/03,230.58,4gb,4gb,1,True
amza10_1_260311104258828_ACD_41427_mejorado.json,amza10_1_260311104258828_ACD_41427_mejorado.json,amza10,11/03,143.39,,,0,False
amza10_1_260311104942114_ACD_60191_mejorado.json,amza10_1_260311104942114_ACD_60191_mejorado.json,amza10,11/03,132.81,,,0,False
amza10_1_260311111805012_ACD_33015_mejorado.json,amza10_1_260311111805012_ACD_33015_mejorado.json,amza10,11/03,96.25,,,0,False
amza10_1_260311112110937_ACD_40979_mejorado.json,amza10_1_260311112110937_ACD_40979_mejorado.json,amza10,11/03,86.13,,,0,False
amza10_1_260311112323408_ACD_47189_mejorado.json,amza10_1_260311112323408_ACD_47189_mejorado.json,amza10,11/03,206.35,,,0,False
amza10_1_260311113122086_ACD_67605_mejorado.json,amza10_1_260311113122086_ACD_67605_mejorado.json,amza10,11/03,137.73,,,0,False
amza10_1_260311115518933_ACD_26697_mejorado.json,amza10_1_260311115518933_ACD_26697_mejorado.json,amza10,11/03,64.87,15gb,15gb,1,False
amza10_1_260311115741279_ACD_31811_mejorado.json,amza10_1_260311115741279_ACD_31811_mejorado.json,amza10,11/03,532.49,,,0,False
amza10_1_260311120827450_ACD_52651_mejorado.json,amza10_1_260311120827450_ACD_52651_mejorado.json,amza10,11/03,133.7,15gb,15gb,1,False
amza10_1_260311121154343_ACD_60741_mejorado.json,amza10_1_260311121154343_ACD_60741_mejorado.json,amza10,11/03,244.4,,,0,True
amza10_1_260311121802820_ACD_76083_mejorado.json,amza10_1_260311121802820_ACD_76083_mejorado.json,amza10,11/03,217.79,15gb,15gb,1,False
amza10_1_260311124743734_ACD_96899_mejorado.json,amza10_1_260311124743734_ACD_96899_mejorado.json,amza10,11/03,520.78,,,0,True
amza10_1_260311130532643_ACD_46101_mejorado.json,amza10_1_260311130532643_ACD_46101_mejorado.json,amza10,11/03,99.77,,,0,False
amza10_1_260311131617761_ACD_74007_mejorado.json,amza10_1_260311131617761_ACD_74007_mejorado.json,amza10,11/03,116.69,,,0,False
amza10_1_260311132753610_ACD_96557_mejorado.json,amza10_1_260311132753610_ACD_96557_mejorado.json,amza10,11/03,102.08,,,0,False
amza10_1_260311133120536_ACD_03741_mejorado.json,amza10_1_260311133120536_ACD_03741_mejorado.json,amza10,11/03,85.49,,,0,False
amza10_1_260311135023661_MIT_01955_mejorado.json,amza10_1_260311135023661_MIT_01955_mejorado.json,amza10,11/03,985.92,30gb,"30gb, 4gb",2,False
amza10_1_260311140643281_ACD_86557_mejorado.json,amza10_1_260311140643281_ACD_86557_mejorado.json,amza10,11/03,119.76,,,0,True
amza10_1_260311140940284_ACD_93277_mejorado.json,amza10_1_260311140940284_ACD_93277_mejorado.json,amza10,11/03,124.32,15gb,15gb,1,False
amza10_1_260311142321308_ACD_22519_mejorado.json,amza10_1_260311142321308_ACD_22519_mejorado.json,amza10,11/03,119.59,15gb,15gb,1,False
amza10_1_260311143943800_ACD_57369_mejorado.json,amza10_1_260311143943800_ACD_57369_mejorado.json,amza10,11/03,86.75,,,0,False
amza10_1_260311145454438_ACD_93697_mejorado.json,amza10_1_260311145454438_ACD_93697_mejorado.json,amza10,11/03,197.02,,,0,True
amza10_1_260311145921821_ACD_03499_mejorado.json,amza10_1_260311145921821_ACD_03499_mejorado.json,amza10,11/03,89.0,,,0,False
amza10_1_260312111956674_ACD_33923_mejorado.json,amza10_1_260312111956674_ACD_33923_mejorado.json,amza10,12/03,109.44,,,0,False
amza10_1_260312113319466_ACD_64997_mejorado.json,amza10_1_260312113319466_ACD_64997_mejorado.json,amza10,12/03,73.44,,,0,False
amza10_1_260312115740844_ACD_25567_mejorado.json,amza10_1_260312115740844_ACD_25567_mejorado.json,amza10,12/03,146.04,4gb,4gb,1,False
amza10_1_260312120048064_ACD_32645_mejorado.json,amza10_1_260312120048064_ACD_32645_mejorado.json,amza10,12/03,74.59,,,0,False
amza10_1_260312120349113_ACD_39089_mejorado.json,amza10_1_260312120349113_ACD_39089_mejorado.json,amza10,12/03,169.44,,,0,False
amza10_1_260312121249337_ACD_59437_mejorado.json,amza10_1_260312121249337_ACD_59437_mejorado.json,amza10,12/03,75.7,,,0,False
amza10_1_260312124708108_ACD_89115_mejorado.json,amza10_1_260312124708108_ACD_89115_mejorado.json,amza10,12/03,88.21,,,0,False
